Page Number,Text,Company_Type,City,Company_Name,Address,Building,Full_Address,Latitude,Longitude
1,"Bradley  Tyson, 60 State",Real Estate,Boston,"Bradley  Tyson,",60 State,,"60 State, Boston",,
1,Breck’s Real Estate Pee 51 N. Market,Real Estate,Boston,Breck’s Real Estate Pee,51 N. Market,,"51 N. Market, Boston",,
1,"James H. Breman, 31 State",Real Estate,Boston,"James H. Breman,",31 State,,"31 State, Boston",,
1,"J. . F. Brewster, 28 State",Real Estate,Boston,"J. . F. Brewster,",28 State,,"28 State, Boston",42.0671435,-73.5291416
1,"Edmund Bridge, 209 Washington",Real Estate,Boston,"Edmund Bridge,",209 Washington,,"209 Washington, Boston",47.6380627,-122.352658
1,"J. F. Briggs, 114 State",Real Estate,Boston,"J. F. Briggs,",114 State,,"114 State, Boston",42.2858801,-71.09698515183277
1,"RL.  G. L. Briggs, 15 Schoo",Real Estate,Boston,"RL.  G. L. Briggs,",15 Schoo,,"15 Schoo, Boston",,
1,John W._Brittan. 101 Tremont,Real Estate,Boston,John W._Brittan.,101 Tremont,,"101 Tremont, Boston",42.3572206,-71.0610355
1,"Samuel Broadbent, 63 State",Real Estate,Boston,"Samuel Broadbent,",63 State,,"63 State, Boston",,
1,John M. Brooks. 63 State,Real Estate,Boston,John M. Brooks.,63 State,,"63 State, Boston",,
1,"Walter D. Brocks, 50 Congress",Real Estate,Boston,"Walter D. Brocks,",50 Congress,,"50 Congress, Boston",42.3580051,-71.05599075644182
1,"Geo. M. Brown, 66 Sterlin",Real Estate,Boston,"Geo. M. Brown,",66 Sterlin,,"66 Sterlin, Boston",,
1,Brown  Stackpole. 101 Tremont,Real Estate,Boston,Brown  Stackpole.,101 Tremont,,"101 Tremont, Boston",42.3572206,-71.0610355
1,"Johny D. Bruce, 223 Dudley",Real Estate,Boston,"Johny D. Bruce,",223 Dudley,,"223 Dudley, Boston",42.3283659,-71.08026760504717
1,"Buckley  Co., Roslindale",Real Estate,Boston,"Buckley  Co., Roslindale",,,,,
1,"Walter Butgess, 15 Exchange",Real Estate,Boston,"Walter Butgess,",15 Exchange,,"15 Exchange, Boston",,
1,"Fred W. Burleigh, Ashmont",Real Estate,Boston,"Fred W. Burleigh, Ashmont",,,,,
1,"G. A. Burleigh, Dorchester",Real Estate,Boston,"G. A. Burleigh, Dorchester",,,,,
1,"Burnham Really Co., 209 Washington",Real Estate,Boston,"Burnham Really Co.,",209 Washington,,"209 Washington, Boston",47.6380627,-122.352658
1,"Clarence V. Burrage, 60 Congress",Real Estate,Boston,"Clarence V. Burrage,",60 Congress,,"60 Congress, Boston",42.35771165217391,-71.0563067826087
1,"Cabot, Cabot  Forbes, 60 State",Real Estate,Boston,"Cabot, Cabot  Forbes,",60 State,,"60 State, Boston",,
2,BOSTON— Continued.,Real Estate,Boston,BOSTON— Continued.,,,,,
2,"Campbell  Cabot, 3 Water",Real Estate,Boston,"Campbell  Cabot,",3 Water,,"3 Water, Boston",8.4879925,-13.2372487
2,"Carberry  Thomas, 43 Tremont",Real Estate,Boston,"Carberry  Thomas,",43 Tremont,,"43 Tremont, Boston",42.376180904369726,-71.05814041964803
2,"Anthony D. Carbone, S. Boston",Real Estate,Boston,"Anthony D. Carbone, S. Boston",,,,,
2,"Cc. E. Carlaon, 701 Tremont Temple",Real Estate,Boston,"Cc. E. Carlaon,",701 Tremont Temple,,"701 Tremont Temple, Boston",,
2,"Frank A. Carnes  Co., 654 Uld So, blu",Real Estate,Boston,"Frank A. Carnes  Co.,","654 Uld So, blu",,"654 Uld So, blu, Boston",,
2,"Geo. W. Carnes, 28 School",Real Estate,Boston,"Geo. W. Carnes,",28 School,,"28 School, Boston",,
2,"James Carr, Jamaica",Real Estate,Boston,"James Carr, Jamaica",,,,,
2,"J. H. Carr, 840 Dorchester ave.",Real Estate,Boston,"J. H. Carr,",840 Dorchester ave.,,"840 Dorchester ave., Boston",42.32215935,-71.05660265
2,"Carter  Peabody, 749 Tremont building.",Real Estate,Boston,"Carter  Peabody, 749 Tremont building.",, 749 Tremont building," 749 Tremont building, Boston",,
2,"R. lL. Casey, 27 School",Real Estate,Boston,"R. lL. Casey,",27 School,,"27 School, Boston",,
2,"Edward F, Cassell, 18 Tremont",Real Estate,Boston,"Edward F, Cassell,",18 Tremont,,"18 Tremont, Boston",42.37655895,-71.05890117343729
2,"H. E Chamberlain, 85 Congress",Real Estate,Boston,"H. E Chamberlain,",85 Congress,,"85 Congress, Boston",42.357685565217395,-71.05629047826086
2,"Walter Channing, Jr., 60 Congress",Real Estate,Boston,"Walter Channing, Jr.,",60 Congress,,"60 Congress, Boston",42.35771165217391,-71.0563067826087
2,. B_H. oa 31 State,Real Estate,Boston,. B_H. oa,31 State,,"31 State, Boston",,
2,"Geo. H. Chapin, 294 Washington",Real Estate,Boston,"Geo. H. Chapin,",294 Washington,,"294 Washington, Boston",45.5153672,-122.837946
2,"Dan’ J. Chapman, 615 Dorchester ave",Real Estate,Boston,"Dan’ J. Chapman,",615 Dorchester ave,,"615 Dorchester ave, Boston",42.32873635,-71.05711755
2,George Gnerry. Mt. Hope,Real Estate,Boston,George Gnerry. Mt. Hope,,,,,
2,"City  Suburban R] Est. Co., 101 Trmt",Real Estate,Boston,"City  Suburban R] Est. Co.,",101 Trmt,,"101 Trmt, Boston",,
2,"Chas. W. Claggett, 7 Water",Real Estate,Boston,"Chas. W. Claggett,",7 Water,,"7 Water, Boston",,
2,"Francis Clare, 18 Tremont",Real Estate,Boston,"Francis Clare,",18 Tremont,,"18 Tremont, Boston",42.37655895,-71.05890117343729
2,"Herbert Clark, 28 State",Real Estate,Boston,"Herbert Clark,",28 State,,"28 State, Boston",42.0671435,-73.5291416
2,"Robert J. Clark, 730 State Mut. bidx",Real Estate,Boston,"Robert J. Clark,",730 State Mut. bidx,,"730 State Mut. bidx, Boston",,
2,"Seth C. Clark, 101 Tremont",Real Estate,Boston,"Seth C. Clark,",101 Tremont,,"101 Tremont, Boston",42.3572206,-71.0610355
